total,time
1840,1429106176
1839,1429036547
1838,1428914772
1837,1428763044
1836,1428744460
1835,1428682624
1834,1428647410
1833,1428605446
1832,1428566808
1831,1428431288
1830,1428405076
1829,1428346907
1828,1428323079
1827,1428266906
1826,1428174741
1825,1428172164
1824,1428140505
1823,1428019870
1822,1428002212
1821,1427983350
1820,1427979468
1819,1427977978
1818,1427854414
1817,1427807427
1816,1427788934
1815,1427773966
1814,1427767595
1813,1427752259
1812,1427627221
1811,1427424089
1810,1427372067
1809,1427342363
1808,1427311315
1807,1427225323
1806,1427195672
1805,1427189208
1804,1427032478
1803,1426716732
1802,1426714601
1801,1426712325
1800,1426692254
1799,1426581737
1798,1426581736
1797,1426523082
1796,1426391427
1795,1426008675
1794,1425821596
1793,1425606732
1792,1425462233
1791,1425273264
1790,1424949385
1789,1424939807
1788,1424922610
1787,1424855459
1786,1424846804
1785,1424706378
1784,1424699980
1783,1424629355
1782,1424485508
1781,1424448963
1780,1424331982
1779,1424325904
1778,1424096773
1777,1423731279
1776,1423478325
1775,1423408299
1774,1423118683
1773,1423075254
1772,1422950691
1771,1422838242
1770,1422599217
1769,1422459313
1768,1422440828
1767,1422373315
1766,1422346924
1765,1422216826
1764,1422118819
1763,1422052007
1762,1422003692
1761,1421914312
1760,1421896844
1759,1421877809
1758,1421824358
1757,1421701796
1756,1421688722
1755,1421685044
1754,1421635798
1753,1421413316
1752,1421274970
1751,1421138351
1750,1420953306
1749,1420919020
1748,1420801337
1747,1420709395
1746,1420647061
1745,1420612411
1744,1420467913
1743,1420336061
1742,1420326151
1741,1420292292
1740,1420262980
1739,1420204736
1738,1419820657
1737,1419753925
1736,1419580619
1735,1419573222
1734,1419429594
1733,1419339822
1732,1419231980
1731,1419175929
1730,1419076164
1729,1418981118
1728,1418974668
1727,1418967400
1726,1418901626
1725,1418880719
1724,1418754190
1723,1418720414
1722,1418711526
1721,1418656349
1720,1418309287
1719,1418300877
1718,1418148321
1717,1417981032
1716,1417933971
1715,1417704975
1714,1417661022
1713,1417571170
1712,1417547620
1711,1417528749
1710,1417504628
1709,1417155105
1708,1417151614
1707,1417004534
1706,1416964746
1705,1416816747
1704,1416777823
1703,1416462359
1702,1416440541
1701,1416292811
1700,1416274756
1699,1416274138
1698,1416025621
1697,1416023217
1696,1416003151
1695,1415968629
1694,1415959164
1693,1415919717
1692,1415901939
1691,1415891846
1690,1415780401
1689,1415668613
1688,1415514744
1687,1415447538
1686,1415194434
1685,1415148687
1684,1415114657
1683,1415086533
1682,1415085829
1681,1415022092
1680,1414986845
1679,1414791385
1678,1414778961
1677,1414736017
1676,1414658805
1675,1414392175
1674,1414204189
1673,1414034537
1672,1414009402
1671,1413969110
1670,1413959721
1669,1413935837
1668,1413895702
1667,1413820819
1666,1413729362
1665,1413682331
1664,1413672753
1663,1413531335
1662,1413325419
1661,1413292448
1660,1413272293
1659,1413153209
1658,1413126468
1657,1413124973
1656,1412981050
1655,1412953378
1654,1412949114
1653,1412758688
1652,1412709250
1651,1412614640
1650,1412330863
1649,1412166320
1648,1412153974
1647,1412132726
1646,1412064189
1645,1411985364
1644,1411700177
1643,1411654213
1642,1411612741
1641,1411582776
1640,1411543093
1639,1411416695
1638,1411121176
1637,1411118963
1636,1411116380
1635,1411079682
1634,1410845832
1633,1410839867
1632,1410838077
1631,1410820326
1630,1410698889
1629,1410586641
1628,1410454787
1627,1410437892
1626,1410401711
1625,1410400539
1624,1410398012
1623,1410358012
1622,1410265764
1621,1410237249
1620,1410159415
1619,1410027793
1618,1409839103
1617,1409829850
1616,1409822513
1615,1409821109
1614,1409810290
1613,1409807008
1612,1409721507
1611,1409616833
1610,1409127271
1609,1409063977
1608,1408985986
1607,1408857387
1606,1408782978
1605,1408702531
1604,1408616801
1603,1408505698
1602,1408245251
1601,1408225856
1600,1408181480
1599,1408177641
1598,1408117675
1597,1408061284
1596,1407936071
1595,1407826384
1594,1407711873
1593,1407707473
1592,1407585710
1591,1407396290
1590,1407389975
1589,1407335091
1588,1407332617
1587,1407320202
1586,1407317057
1585,1407315987
1584,1407293270
1583,1407259220
1582,1407244046
1581,1407207762
1580,1407205538
1579,1407134640
1578,1407058985
1577,1407025301
1576,1406804190
1575,1406785625
1574,1406712179
1573,1406638810
1572,1406624963
1571,1406623288
1570,1406562079
1569,1406463271
1568,1406439689
1567,1406370179
1566,1406255421
1565,1406233280
1564,1406232835
1563,1406203390
1562,1406085829
1561,1405957684
1560,1405927314
1559,1405877126
1558,1405767572
1557,1405730297
1556,1405622727
1555,1405593882
1554,1405519912
1553,1405350087
1552,1405337379
1551,1405260416
1550,1405258157
1549,1405137272
1548,1405136760
1547,1404889888
1546,1404884575
1545,1404882047
1544,1404815420
1543,1404800040
1542,1404732602
1541,1404724679
1540,1404700457
1539,1404629256
1538,1404514415
1537,1404483644
1536,1404400790
1535,1404370108
1534,1404184014
1533,1403960831
1532,1403945017
1531,1403901076
1530,1403876903
1529,1403814258
1528,1403688993
1527,1403614519
1526,1403599614
1525,1403549373
1524,1403499250
1523,1403420899
1522,1403377425
1521,1403350463
1520,1403327694
1519,1403187259
1518,1403056392
1517,1402936836
1516,1402923990
1515,1402882508
1514,1402845626
1513,1402823266
1512,1402679217
1511,1402632849
1510,1402608881
1509,1402591562
1508,1402573695
1507,1402566749
1506,1402554635
1505,1402515961
1504,1402507002
1503,1402478160
1502,1402401233
1501,1402384353
1500,1402313963
1499,1402300808
1498,1402282850
1497,1402266940
1496,1402232653
1495,1402225824
1494,1402150153
1493,1402122178
1492,1402118979
1491,1402082878
1490,1402026108
1489,1401979174
1488,1401978559
1487,1401959885
1486,1401897160
1485,1401891243
1484,1401866253
1483,1401713477
1482,1401702608
1481,1401701930
1480,1401629175
1479,1401568298
1478,1401534129
1477,1401521321
1476,1401395293
1475,1401267193
1474,1401199114
1473,1401193010
1472,1401166006
1471,1401092022
1470,1401082394
1469,1400996930
1468,1400917753
1467,1400640226
1466,1400593498
1465,1400587123
1464,1400579946
1463,1400556859
1462,1400502986
1461,1400500994
1460,1400486644
1459,1400382746
1458,1400248741
1457,1400142115
1456,1400098189
1455,1400084046
1454,1400072338
1453,1400022156
1452,1399980225
1451,1399970684
1450,1399927174
1449,1399909619
1448,1399634612
1447,1399526229
1446,1399506031
1445,1399408395
1444,1399379420
1443,1399368626
1442,1399262257
1441,1399255219
1440,1399132616
1439,1399033577
1438,1399028816
1437,1398963539
1436,1398930794
1435,1398812679
1434,1398751084
1433,1398746044
1432,1398697150
1431,1398668077
1430,1398658492
1429,1398636219
1428,1398526473
1427,1398522040
1426,1398514834
1425,1398433085
1424,1398430082
1423,1398406817
1422,1398398293
1421,1398321724
1420,1398305881
1419,1398276450
1418,1398251201
1417,1398151553
1416,1398134477
1415,1398106844
1414,1398021114
1413,1397681359
1412,1397674137
1411,1397591639
1410,1397587368
1409,1397583156
1408,1397559170
1407,1397556360
1406,1397541436
1405,1397483515
1404,1397476044
1403,1397447664
1402,1397099291
1401,1396899500
1400,1396896865
1399,1396896608
1398,1396858967
1397,1396720550
1396,1396717069
1395,1396634306
1394,1396602986
1393,1396545873
1392,1396516111
1391,1396496160
1390,1396430404
1389,1396419350
1388,1396364950
1387,1396344360
1386,1396304134
1385,1396203454
1384,1396186360
1383,1396092215
1382,1396013219
1381,1395920390
1380,1395887575
1379,1395774234
1378,1395751418
1377,1395482024
1376,1395375883
1375,1395372782
1374,1395371130
1373,1395336238
1372,1395107869
1371,1395056642
1370,1394763806
1369,1394692252
1368,1394660256
1367,1394608644
1366,1394603872
1365,1394558211
1364,1394557603
1363,1394553648
1362,1394492482
1361,1394467795
1360,1394465220
1359,1394454369
1358,1394443914
1357,1394421884
1356,1394298505
1355,1394268101
1354,1394202927
1353,1394166270
1352,1394157400
1351,1393984596
1350,1393954137
1349,1393926944
1348,1393867744
1347,1393840696
1346,1393762070
1345,1393658022
1344,1393552808
1343,1393529306
1342,1393494262
1341,1393401679
1340,1393399463
1339,1393334178
1338,1393311387
1337,1393302348
1336,1393204787
1335,1393083846
1334,1393075077
1333,1392988237
1332,1392898152
1331,1392620006
1330,1392604695
1329,1392296606
1328,1392224008
1327,1392223585
1326,1392106166
1325,1391754237
1324,1391718966
1323,1391667950
1322,1391661348
1321,1391585959
1320,1391466108
1319,1391381027
1318,1391322907
1317,1391225586
1316,1391169579
1315,1391020734
1314,1391013790
1313,1390933523
1312,1390851515
1311,1390790056
1310,1390753988
1309,1390692518
1308,1390643800
1307,1390569457
1306,1390425747
1305,1390355361
1304,1390313108
1303,1390241482
1302,1390148426
1301,1390119436
1300,1390025615
1299,1389881125
1298,1389849704
1297,1389794297
1296,1389357009
1295,1389346090
1294,1389298765
1293,1389205757
1292,1389204511
1291,1389184095
1290,1389023934
1289,1388996290
1288,1388925418
1287,1388662417
1286,1388521873
1285,1388444422
1284,1388436578
1283,1388398979
1282,1388306805
1281,1388034336
1280,1387943250
1279,1387801346
1278,1387771856
1277,1387594434
1276,1387549376
1275,1387518220
1274,1387484539
1273,1387270503
1272,1387243482
1271,1386973474
1270,1386963993
1269,1386905660
1268,1386776809
1267,1386763541
1266,1386718736
1265,1386600252
1264,1386595647
1263,1386493202
1262,1386429710
1261,1386236754
1260,1386023561
1259,1385907115
1258,1385839875
1257,1385815124
1256,1385646045
1255,1385582919
1254,1385579153
1253,1385542284
1252,1385479790
1251,1385473302
1250,1385469611
1249,1385402219
1248,1385379154
1247,1385213915
1246,1385158576
1245,1385070127
1244,1385055822
1243,1385050667
1242,1385026456
1241,1384963589
1240,1384950439
1239,1384928367
1238,1384922176
1237,1384700347
1236,1384629016
1235,1384441586
1234,1384431142
1233,1384422160
1232,1384329823
1231,1384315594
1230,1384270729
1229,1384270270
1228,1384264679
1227,1384240531
1226,1384097463
1225,1383929201
1224,1383829985
1223,1383821999
1222,1383809390
1221,1383781906
1220,1383716565
1219,1383681276
1218,1383676281
1217,1383644432
1216,1383593098
1215,1383550961
1214,1383500680
1213,1383314634
1212,1383064835
1211,1383041464
1210,1382955228
1209,1382936655
1208,1382930504
1207,1382919162
1206,1382850625
1205,1382706398
1204,1382681849
1203,1382680342
1202,1382637332
1201,1382474526
1200,1382448182
1199,1382357088
1198,1382098880
1197,1382094583
1196,1381956272
1195,1381915112
1194,1381851368
1193,1381840499
1192,1381835038
1191,1381818006
1190,1381760735
1189,1381753803
1188,1381673732
1187,1381671078
1186,1381669838
1185,1381646295
1184,1381641916
1183,1381622790
1182,1381549624
1181,1381519609
1180,1381389826
1179,1381373993
1178,1381373741
1177,1381348065
1176,1381340452
1175,1381192048
1174,1380953439
1173,1380861609
1172,1380805895
1171,1380720806
1170,1380715445
1169,1380653017
1168,1380551135
1167,1380514513
1166,1380511449
1165,1380445326
1164,1380444627
1163,1380374596
1162,1380297664
1161,1380170239
1160,1380158347
1159,1380102868
1158,1380102185
1157,1380101201
1156,1380097985
1155,1380092258
1154,1380037085
1153,1379987090
1152,1379617368
1151,1379617211
1150,1379557193
1149,1379536868
1148,1379385159
1147,1379374177
1146,1379363420
1145,1379340470
1144,1379299474
1143,1379251432
1142,1379227635
1141,1379205686
1140,1379139209
1139,1379090538
1138,1379056990
1137,1379010405
1136,1378900545
1135,1378885550
1134,1378882827
1133,1378866504
1132,1378828718
1131,1378808975
1130,1378716154
1129,1378704590
1128,1378482467
1127,1378475419
1126,1378459217
1125,1378291537
1124,1378281215
1123,1378191639
1122,1378187392
1121,1378115609
1120,1377872290
1119,1377827181
1118,1377768397
1117,1377685137
1116,1377664808
1115,1377623384
1114,1377603860
1113,1377581308
1112,1377523585
1111,1377505274
1110,1377338681
1109,1377317008
1108,1377273113
1107,1377228484
1106,1377206794
1105,1377189104
1104,1377133878
1103,1377126151
1102,1377066941
1101,1376981844
1100,1376978000
1099,1376960132
1098,1376946648
1097,1376737855
1096,1376656855
1095,1376589828
1094,1376576101
1093,1376553510
1092,1376463807
1091,1376379663
1090,1376376531
1089,1376290103
1088,1376289026
1087,1376250726
1086,1376233061
1085,1376093425
1084,1376038451
1083,1376017606
1082,1375973039
1081,1375852556
1080,1375835205
1079,1375826570
1078,1375791787
1077,1375779723
1076,1375765764
1075,1375695697
1074,1375683041
1073,1375670479
1072,1375595561
1071,1375515899
1070,1375506869
1069,1375470549
1068,1375450298
1067,1375450214
1066,1375437268
1065,1375389933
1064,1375349867
1063,1375298553
1062,1375255194
1061,1375254061
1060,1375163423
1059,1375151633
1058,1375105467
1057,1374938083
1056,1374927885
1055,1374831157
1054,1374828189
1053,1374730584
1052,1374697575
1051,1374577459
1050,1374575660
1049,1374575616
1048,1374569823
1047,1374565990
1046,1374561985
1045,1374511640
1044,1374477678
1043,1374268123
1042,1374264102
1041,1374244198
1040,1374220516
1039,1374155418
1038,1374145624
1037,1374026417
1036,1374020745
1035,1373993237
1034,1373933743
1033,1373920444
1032,1373910053
1031,1373880017
1030,1373870549
1029,1373702734
1028,1373672286
1027,1373651171
1026,1373625134
1025,1373550999
1024,1373530578
1023,1373514636
1022,1373510104
1021,1373501817
1020,1373468765
1019,1373375367
1018,1373373536
1017,1373337250
1016,1373284940
1015,1373270692
1014,1373267432
1013,1373266507
1012,1373118406
1011,1373059886
1010,1373030804
1009,1372857072
1008,1372850209
1007,1372843561
1006,1372822019
1005,1372795582
1004,1372785311
1003,1372767909
1002,1372723766
1001,1372663062
1000,1372446754
999,1372413759
998,1372408169
997,1372342419
996,1372229625
995,1372224261
994,1372179746
993,1372163453
992,1372148692
991,1372148448
990,1372056790
989,1372037328
988,1371779085
987,1371743382
986,1371724654
985,1371651778
984,1371618205
983,1371607372
982,1371558044
981,1371537211
980,1371534431
979,1371453450
978,1371189003
977,1371153502
976,1371071339
975,1370959970
974,1370919943
973,1370861470
972,1370854531
971,1370782283
970,1370751052
969,1370673547
968,1370634276
967,1370519846
966,1370507385
965,1370270963
964,1370269307
963,1370268370
962,1370259262
961,1370250407
960,1370180415
959,1370146048
958,1369976998
957,1369970028
956,1369799860
955,1369716370
954,1369544599
953,1369492924
952,1369413991
951,1369388388
950,1369382792
949,1369380885
948,1369303827
947,1369265476
946,1369213887
945,1369209332
944,1369203669
943,1369191934
942,1369176402
941,1369143444
940,1369106562
939,1369065149
938,1369060292
937,1369031600
936,1368995857
935,1368883805
934,1368874261
933,1368700071
932,1368680228
931,1368603093
930,1368553346
929,1368518444
928,1368442324
927,1368428634
926,1368394545
925,1368376465
924,1368362754
923,1368287735
922,1368194482
921,1368177342
920,1368174103
919,1368130940
918,1368003526
917,1367988257
916,1367986573
915,1367978760
914,1367938955
913,1367838032
912,1367829012
911,1367810611
910,1367809282
909,1367804287
908,1367801965
907,1367755484
906,1367691149
905,1367612595
904,1367587479
903,1367528388
902,1367460687
901,1367338546
900,1367319479
899,1367290673
898,1367223312
897,1367157480
896,1367073705
895,1367062517
894,1366990829
893,1366975071
892,1366937362
891,1366923139
890,1366887912
889,1366786437
888,1366766699
887,1366751350
886,1366620796
885,1366492906
884,1366492558
883,1366369247
882,1366355787
881,1366293717
880,1366283467
879,1366281354
878,1366191239
877,1366176713
876,1366078589
875,1366057658
874,1366043353
873,1366032127
872,1366025652
871,1365887491
870,1365871725
869,1365830670
868,1365686448
867,1365672693
866,1365672356
865,1365584449
864,1365581388
863,1365580563
862,1365500563
861,1365365199
860,1365255619
859,1365182033
858,1365172125
857,1365119243
856,1365088894
855,1365003745
854,1364989373
853,1364978386
852,1364969004
851,1364852343
850,1364818372
849,1364787901
848,1364754419
847,1364712928
846,1364587100
845,1364543723
844,1364486769
843,1364482821
842,1364437768
841,1364357889
840,1364283193
839,1364278643
838,1364250871
837,1364056826
836,1363872135
835,1363859992
834,1363834559
833,1363791583
832,1363743729
831,1363707246
830,1363687729
829,1363682705
828,1363585633
827,1363570815
826,1363455209
825,1363372750
824,1363337405
823,1363328459
822,1363297208
821,1363134356
820,1363112607
819,1363101447
818,1363095434
817,1363085998
816,1363069301
815,1363058064
814,1363053958
813,1363011852
812,1362994593
811,1362917950
810,1362830200
809,1362782486
808,1362744279
807,1362709731
806,1362649028
805,1362609516
804,1362572229
803,1362470385
802,1362389704
801,1362389399
800,1362174673
799,1362153160
798,1362097472
797,1362021943
796,1362018000
795,1361962502
794,1361954910
793,1361912540
792,1361798064
791,1361694568
790,1361579995
789,1361532559
788,1361506341
787,1361447415
786,1361398061
785,1361387908
784,1361295667
783,1361216326
782,1361171548
781,1361170229
780,1361157902
779,1361049333
778,1360928887
777,1360791398
776,1360781393
775,1360733132
774,1360705169
773,1360703171
772,1360694827
771,1360675936
770,1360541753
769,1360536712
768,1360492347
767,1360434606
766,1360400814
765,1360349066
764,1360305715
763,1360248829
762,1360148511
761,1360146997
760,1360092296
759,1360013122
758,1359968406
757,1359932360
756,1359914628
755,1359818132
754,1359718297
753,1359649690
752,1359619862
751,1359602515
750,1359601961
749,1359566501
748,1359508064
747,1359466234
746,1359460196
745,1359408774
744,1359394230
743,1359370509
742,1359353796
741,1359124777
740,1359097087
739,1359089842
738,1359034253
737,1358994748
736,1358885764
735,1358836628
734,1358774282
733,1358767475
732,1358719069
731,1358481616
730,1358437188
729,1358421809
728,1358358441
727,1358324578
726,1358300703
725,1358275918
724,1358179991
723,1358164194
722,1358153722
721,1358104464
720,1358089355
719,1357978388
718,1357933620
717,1357909094
716,1357805999
715,1357801651
714,1357712960
713,1357700836
712,1357681948
711,1357598601
710,1357576649
709,1357556542
708,1357452008
707,1357447601
706,1357376734
705,1357116609
704,1357045337
703,1356968545
702,1356905680
701,1356706398
700,1356612351
699,1356597832
698,1356583122
697,1356419815
696,1356375524
695,1356212802
694,1356067566
693,1356027236
692,1356021314
691,1355848574
690,1355825040
689,1355798113
688,1355532164
687,1355529324
686,1355494590
685,1355471590
684,1355431290
683,1355393075
682,1355377224
681,1355356625
680,1355225651
679,1355190038
678,1355189655
677,1355173115
676,1355171613
675,1355150537
674,1355120144
673,1355078470
672,1355023235
671,1354953850
670,1354951944
669,1354913590
668,1354908542
667,1354868055
666,1354833681
665,1354718740
664,1354695547
663,1354647860
662,1354566431
661,1354442521
660,1354402802
659,1354301289
658,1354261481
657,1354256818
656,1354126251
655,1354114918
654,1354113100
653,1354050879
652,1354027468
651,1353995529
650,1353766262
649,1353763729
648,1353678274
647,1353678166
646,1353638955
645,1353638497
644,1353608492
643,1353598795
642,1353594323
641,1353577816
640,1353529440
639,1353486020
638,1353485324
637,1353409707
636,1353397306
635,1353371814
634,1353215702
633,1353003908
632,1352997247
631,1352979973
630,1352928511
629,1352925638
628,1352891931
627,1352804050
626,1352803901
625,1352763859
624,1352758833
623,1352721434
622,1352707962
621,1352646430
620,1352627242
619,1352538864
618,1352457243
617,1352443026
616,1352413659
615,1352361655
614,1352328176
613,1352310091
612,1352310058
611,1352186866
610,1352109335
609,1352105212
608,1352069620
607,1351969144
606,1351854922
605,1351842336
604,1351742157
603,1351699672
602,1351670249
601,1351580765
600,1351570949
599,1351500074
598,1351384605
597,1351321125
596,1351290443
595,1351195840
594,1351161395
593,1351119191
592,1351090968
591,1351057246
590,1351020698
589,1350894495
588,1350869896
587,1350809852
586,1350678196
585,1350587152
584,1350580399
583,1350493299
582,1350488458
581,1350423167
580,1350391502
579,1350365599
578,1350193340
577,1350169226
576,1350015906
575,1349898412
574,1349876661
573,1349842264
572,1349835072
571,1349826765
570,1349816766
569,1349808508
568,1349801968
567,1349776050
566,1349728174
565,1349702831
564,1349685372
563,1349504368
562,1349446161
561,1349434378
560,1349236165
559,1349154088
558,1349038698
557,1349001600
556,1348903021
555,1348677916
554,1348658144
553,1348653190
552,1348592224
551,1348591935
550,1348566893
549,1348532798
548,1348517429
547,1348444461
546,1348250481
545,1348078272
544,1348068953
543,1347862622
542,1347807921
541,1347792844
540,1347685682
539,1347639754
538,1347630145
537,1347606920
536,1347604495
535,1347539953
534,1347439751
533,1347424243
532,1347323442
531,1346866026
530,1346846576
529,1346792160
528,1346776488
527,1346739047
526,1346510526
525,1346495975
524,1346424282
523,1346361382
522,1346349075
521,1346334082
520,1346282107
519,1346163647
518,1346162038
517,1346155539
516,1346128755
515,1346127863
514,1346113815
513,1346108901
512,1346037757
511,1345925833
510,1345913485
509,1345873716
508,1345835183
507,1345728043
506,1345696290
505,1345529635
504,1345523543
503,1345480229
502,1345193601
501,1345153451
500,1345146550
499,1345116731
498,1345091922
497,1345089320
496,1345030238
495,1345028115
494,1345000002
493,1344998540
492,1344935791
491,1344932432
490,1344923905
489,1344920475
488,1344918525
487,1344909168
486,1344805324
485,1344786743
484,1344681307
483,1344621524
482,1344432516
481,1344413580
480,1344403890
479,1344383880
478,1344250152
477,1344182665
476,1344155431
475,1344146866
474,1344022854
473,1343891312
472,1343814248
471,1343806962
470,1343638887
469,1343445792
468,1343420539
467,1343418497
466,1343397372
465,1343355023
464,1343318573
463,1343289565
462,1343287157
461,1343282833
460,1343115200
459,1342781913
458,1342736398
457,1342697701
456,1342620813
455,1342620417
454,1342539392
453,1342515818
452,1342481190
451,1342434969
450,1342420965
449,1342406086
448,1342257289
447,1342147750
446,1342093924
445,1342073468
444,1341998027
443,1341983945
442,1341964562
441,1341964417
440,1341878182
439,1341866563
438,1341837027
437,1341835769
436,1341833192
435,1341782129
434,1341749911
433,1341739814
432,1341724941
431,1341675640
430,1341552193
429,1341532561
428,1341524855
427,1341472515
426,1341470560
425,1341463343
424,1341430329
423,1341399017
422,1341353558
421,1341332060
420,1341051440
419,1340991735
418,1340981931
417,1340862685
416,1340841638
415,1340722023
414,1340677135
413,1340440782
412,1340406868
411,1340402346
410,1340349041
409,1340219819
408,1340205286
407,1340149670
406,1339982462
405,1339895570
404,1339724956
403,1339666352
402,1339627111
401,1339581175
400,1339568836
399,1339448293
398,1339417172
397,1339410311
396,1339251370
395,1339061537
394,1339053341
393,1339038208
392,1338991396
391,1338986530
390,1338949450
389,1338932660
388,1338904079
387,1338861096
386,1338791839
385,1338622968
384,1338608711
383,1338581875
382,1338570593
381,1338453753
380,1338427623
379,1338388854
378,1338301527
377,1338300360
376,1338271772
375,1338264896
374,1338205457
373,1338109679
372,1338026171
371,1337995473
370,1337936135
369,1337893055
368,1337774568
367,1337655692
366,1337616239
365,1337612331
364,1337366892
363,1337270924
362,1337241499
361,1337225814
360,1337212877
359,1336979135
358,1336977592
357,1336845519
356,1336720121
355,1336681594
354,1336641329
353,1336625552
352,1336616273
351,1336578041
350,1336490656
349,1336473210
348,1336410138
347,1336285279
346,1336038353
345,1336037320
344,1336015960
343,1335831256
342,1335697993
341,1335567638
340,1335442897
339,1335413607
338,1335399848
337,1335367268
336,1335268308
335,1335135466
334,1335016061
333,1334917721
332,1334868251
331,1334805920
330,1334803305
329,1334794127
328,1334791209
327,1334664685
326,1334515236
325,1334478720
324,1334315088
323,1334217631
322,1334212461
321,1334178220
320,1334128767
319,1334121865
318,1334026624
317,1333832688
316,1333826748
315,1333826745
314,1333694113
313,1333571998
312,1333470744
311,1333438253
310,1333341769
309,1333220169
308,1333151346
307,1333119547
306,1332964758
305,1332962004
304,1332942674
303,1332916128
302,1332842457
301,1332840807
300,1332818970
299,1332817878
298,1332743087
297,1332628893
296,1332601040
295,1332507010
294,1332362587
293,1332335737
292,1332312095
291,1332282293
290,1332173240
289,1332154179
288,1332063309
287,1331885133
286,1331824758
285,1331780999
284,1331763122
283,1331406837
282,1331364527
281,1331251341
280,1331190430
279,1331187450
278,1331178874
277,1331159417
276,1331135404
275,1331125999
274,1331081532
273,1331042563
272,1330561343
271,1330536652
270,1330278032
269,1330267406
268,1330002612
267,1329948350
266,1329923219
265,1329876340
264,1329814427
263,1329810948
262,1329766482
261,1329708962
260,1329547541
259,1329417367
258,1329327869
257,1329318670
256,1329252109
255,1329223375
254,1329081628
253,1329051150
252,1328909662
251,1328905727
250,1328868792
249,1328731903
248,1328680757
247,1328627745
246,1328605391
245,1328460866
244,1328366710
243,1328310250
242,1328255631
241,1328212669
240,1328182113
239,1328121651
238,1327952455
237,1327437348
236,1327436798
235,1327314654
234,1327002523
233,1326870136
232,1326810578
231,1326706940
230,1326674327
229,1326334896
228,1326175125
227,1325997146
226,1325909274
225,1325719759
224,1325107190
223,1324979319
222,1324973369
221,1324806392
220,1324745883
219,1324649366
218,1324550091
217,1324496610
216,1324363247
215,1324272169
214,1324229232
213,1324015812
212,1323962796
211,1323923301
210,1323689587
209,1323634191
208,1323469516
207,1323433509
206,1323338507
205,1322896492
204,1322793048
203,1322704407
202,1322524504
201,1322468599
200,1322016547
199,1321764647
198,1321727058
197,1321700049
196,1321673622
195,1321672867
194,1321514191
193,1321505044
192,1321459636
191,1321227157
190,1321113719
189,1321012805
188,1320977646
187,1320719710
186,1320713464
185,1320696073
184,1320668623
183,1320188243
182,1320137117
181,1319748546
180,1319570636
179,1319209772
178,1319148600
177,1319083999
176,1319005350
175,1318846394
174,1318796768
173,1318765975
172,1318765280
171,1318738085
170,1318700632
169,1318520936
168,1318276368
167,1318257683
166,1317999974
165,1317971305
164,1317924826
163,1317909984
162,1317262941
161,1317198409
160,1316726477
159,1316719988
158,1316545072
157,1316539776
156,1316464722
155,1316455245
154,1316418328
153,1316331276
152,1316106397
151,1316097196
150,1316014936
149,1315821867
148,1315758682
147,1315579808
146,1315538184
145,1315416310
144,1314815565
143,1314802225
142,1314784247
141,1314612525
140,1314589295
139,1314363856
138,1314178829
137,1313763630
136,1313741314
135,1313309771
134,1312751791
133,1312657599
132,1312614414
131,1312359141
130,1312267352
129,1311897290
128,1311676148
127,1311421080
126,1310808827
125,1310754665
124,1310661177
123,1310660744
122,1310509451
121,1310498116
120,1309598533
119,1309594193
118,1309345049
117,1309177997
116,1308810767
115,1308545247
114,1307788987
113,1307715166
112,1307639513
111,1307542421
110,1307473920
109,1307344205
108,1307247688
107,1307020355
106,1306972177
105,1306865440
104,1306621740
103,1306315044
102,1306283648
101,1306184980
100,1305709102
99,1305575625
98,1305541011
97,1305461546
96,1304973127
95,1304931165
94,1304868495
93,1304506241
92,1304327268
91,1304093895
90,1303845796
89,1303375312
88,1303290375
87,1302805995
86,1302718777
85,1302611719
84,1302381670
83,1301581209
82,1301490547
81,1301390998
80,1301213400
79,1301070497
78,1301006860
77,1300229069
76,1300198635
75,1299906422
74,1299795441
73,1299111124
72,1298926806
71,1298481320
70,1297389997
69,1296729148
68,1296487841
67,1296411408
66,1296343146
65,1296228336
64,1296227938
63,1296169032
62,1296097485
61,1295985232
60,1295601211
59,1295373184
58,1295360658
57,1295225541
56,1295139438
55,1294927480
54,1294788432
53,1294654621
52,1293719299
51,1293517824
50,1292958423
49,1292438674
48,1291990604
47,1289809113
46,1289352387
45,1289326172
44,1288813259
43,1288675399
42,1288554569
41,1288494535
40,1288480695
39,1287507581
38,1287410388
37,1287110971
36,1286847333
35,1286455933
34,1286369809
33,1285439760
32,1284137545
31,1284040182
30,1283880953
29,1283635277
28,1283490014
27,1283227552
26,1283130596
25,1283041058
24,1282728990
23,1282498721
22,1282019466
21,1281913266
20,1281335709
19,1280992083
18,1280959035
17,1280080321
16,1279937718
15,1279691062
14,1278548837
13,1277890897
12,1276846622
11,1276301183
10,1275996768
9,1275561421
8,1275417276
7,1275262100
6,1275180640
5,1275057411
4,1274993702
3,1274991027
2,1274987143
1,1274980762
