commit,sha,time,cyclo,abstract,fanout,npath
1,645fb873,1375098771,0,0,0,0
2,ed33ebdf,1375110246,1,1,1,0
3,58adc8c9,1375110246,1,1,1,0
4,a4396b1b,1375111881,1,1,1,0
5,c05a7fb2,1375111881,1,1,1,0
6,6002d5ce,1375112024,1,1,1,0
7,6ed0befb,1375112024,1,1,1,0
8,7f9386f7,1375126927,1,1,1,0
9,d59cacd5,1375126927,1,1,1,0
10,e4ef9a79,1375163259,1,1,1,0
11,eaf4f1b4,1375163259,1,1,1,0
12,e2cef1e8,1375164152,1,1,1,0
13,256c0aaf,1375164152,1,1,1,0
14,15ff7732,1375164256,1,1,1,0
15,43327630,1375164256,1,1,1,0
16,2c9fd1f5,1375164337,1,1,1,0
17,e72f2b4f,1375164337,1,1,1,0
18,bbd6e302,1375164373,1,1,1,0
19,7414a331,1375164373,1,1,1,0
20,9836637a,1375165186,1,1,1,0
21,a6dd16ae,1375165186,1,1,1,0
22,0489b8e9,1375165532,1,1,1,0
23,b7edf450,1375165532,1,1,1,0
24,d6ed3d74,1375168192,1,1,1,0
25,ddfb544c,1375168192,1,1,1,0
26,587d13c1,1375169101,1,1,1,0
27,c30340c1,1375169101,1,1,1,0
28,1159d787,1375169186,1,1,1,0
29,dfa7d0a0,1375169186,1,1,1,0
30,285af3fd,1375169259,1,1,1,0
31,562c6866,1375169259,1,1,1,0
32,c0068e1c,1375169638,1,1,1,0
33,5aeea082,1375169638,1,1,1,0
34,ef624317,1375170356,1,1,1,0
35,387b97d6,1375170356,1,1,1,0
36,0caee382,1375173765,1,1,1,0
37,383e3a04,1375173765,1,1,1,0
38,04c0bafc,1375173927,1,1,1,0
39,0c1a9eaa,1375173927,1,1,1,0
40,161f9bc6,1375174885,1,1,1,0
41,1569f3ab,1375174885,1,1,1,0
42,0fa2293a,1375175537,1,1,1,0
43,b047e70c,1375175537,1,1,1,0
44,0c38264f,1375176251,1,1,1,0
45,d032e442,1375176251,1,1,1,0
46,38d02395,1375183906,1,1,1,0
47,0914f90a,1375183906,1,1,1,0
48,a5dfe13b,1375184125,1,1,1,0
49,baf66552,1375184125,1,1,1,0
50,386f9e04,1375184300,1,1,1,0
51,1745f481,1375184300,1,1,1,0
52,dc601e83,1375184770,1,1,1,0
53,89762f39,1375184770,1,1,1,0
54,d08db4fb,1375184883,1,1,2,0
55,ec9bb784,1375184883,1,1,2,0
56,4d0d6dbf,1375184893,1,1,2,0
57,bc7449aa,1375184893,1,1,2,0
58,66fcb002,1375185561,1,1,2,0
59,fb9d21b8,1375185561,1,1,2,0
60,7b1bc419,1375186033,1,1,2,0
61,6b067731,1375186033,1,1,2,0
62,45674d6a,1375186122,1,1,2,0
63,b8164992,1375186122,1,1,2,0
64,29b1ec62,1375189017,1,1,2,0
65,053ea5ba,1375189017,1,1,2,0
66,1e4ebc4e,1375189123,1,2,2,0
67,6986ac14,1375189123,1,2,2,0
68,8979ddcf,1375189135,1,2,2,0
69,39d3a7da,1375189135,1,2,2,0
70,13cbd658,1375294376,1,2,2,0
71,f5c90832,1375294376,1,2,2,0
72,3803017d,1375359103,1,2,2,0
73,8d622843,1375359103,1,2,2,0
74,cd265a84,1375362043,1,2,2,0
75,3ee33978,1375362043,1,2,2,0
76,2edd13ea,1375729609,1,2,2,0
77,ffe88053,1375729609,1,2,2,0
78,dd8152d3,1375730132,1,2,2,0
79,33bec09a,1375730132,1,2,2,0
80,d2fd102e,1375910058,1,2,2,0
81,18a9deef,1375910058,1,2,2,0
82,555efa7b,1375910301,1,2,2,0
83,283dfc42,1375910301,1,2,2,0
84,d0d3035d,1375911811,1,2,2,0
85,0bd90ca8,1375911811,1,2,2,0
86,f76b8b42,1375911956,1,2,2,0
87,4cbec163,1375911956,1,2,2,0
88,6a7d780f,1375912101,1,2,2,0
89,6c3d3a36,1375912101,1,2,2,0
90,97f647e6,1376035724,1,2,2,0
91,061b5986,1376035724,1,2,2,0
92,e9e89625,1376035758,1,2,2,0
93,8bcf168c,1376035758,1,2,2,0
94,7c0a7838,1376036552,1,2,2,0
95,f6b4cfe4,1376036552,1,2,2,0
96,05f75005,1376036731,1,2,2,0
97,03e16231,1376036731,1,2,2,0
98,7f908607,1376043752,1,2,2,0
99,db660ffe,1376043752,1,2,2,0
100,7ae3f0d0,1376074097,1,2,2,0
101,ce5b5433,1376074097,1,2,2,0
102,ac21e118,1376151730,1,2,2,0
103,c8fd154f,1376151730,1,2,2,0
104,c32ad6ba,1376345390,1,2,2,0
105,950cc4ca,1376345390,1,2,2,0
106,1f076d7c,1376739450,1,2,2,0
107,2f9250fe,1376739450,1,2,2,0
108,d8dcf3a3,1376739460,1,2,2,0
109,9e73a985,1376739460,1,2,2,0
110,ea361f33,1376855154,1,2,2,0
111,54df8718,1376855154,1,2,2,0
112,841cab36,1376939014,1,2,2,0
113,41eb9e5e,1376939014,1,2,2,0
114,8be673db,1377294163,1,2,2,0
115,18c928f0,1377294163,1,2,2,0
116,92121034,1377294222,1,2,2,0
117,50c3dc48,1377294222,1,2,2,0
118,62a2696c,1377294270,1,2,2,0
119,cde2be28,1377294270,1,2,2,0
120,26a1dadc,1377295767,1,2,2,0
121,a0288ec2,1377295767,1,2,2,0
122,15f7fc60,1377295808,1,2,2,0
123,6f78ef73,1377295808,1,2,2,0
124,d0bfbc66,1377296835,1,2,2,0
125,73839a80,1377296835,1,2,2,0
126,ebd2aadd,1377296890,1,2,2,0
127,16f971d8,1377296890,1,2,2,0
128,7cbab455,1377336469,1,2,2,0
129,2ebfc90a,1377336469,1,2,2,0
130,8b16a117,1377342245,1,2,2,0
131,88ec5f28,1377342245,1,2,2,0
132,fa5b697b,1377346063,1,2,2,0
133,459fcf4d,1377346063,1,2,2,0
134,d1d54002,1377362808,1,2,2,0
135,acbb93dc,1377362808,1,2,2,0
136,0b5dc952,1377381546,1,2,2,0
137,000b8c19,1377381546,1,2,2,0
138,da32fe4d,1377950910,1,2,2,0
139,e53a2943,1377950910,1,2,2,0
140,92c31c27,1377951020,1,2,2,0
141,a40ccb3d,1377951020,1,2,2,0
142,ca1b8839,1377979581,1,2,2,0
143,cec80337,1377979581,1,2,2,0
144,585178fa,1377982826,1,2,2,0
145,34237c17,1377982826,1,2,2,0
146,b5928b85,1377982976,1,2,2,0
147,99901043,1377982976,1,2,2,0
148,a90c3c74,1377982986,1,2,2,0
149,8df7ad44,1377982986,1,2,2,0
150,c31b1f53,1378363773,1,2,2,0
151,11701e7e,1378363773,1,2,2,0
152,24e7abfc,1378364280,1,2,2,0
153,4720eb4b,1378364280,1,2,2,0
154,2fea632a,1378364367,1,2,2,0
155,581644ef,1378364367,1,2,2,0
156,653bf6c6,1378375294,1,2,2,0
157,063b56ce,1378375294,1,2,2,0
158,afab3f6c,1378375366,1,2,2,0
159,6e432436,1378375366,1,2,2,0
160,f4abaaa0,1378375396,1,2,2,0
161,a3a511f9,1378375396,1,2,2,0
162,26eec06f,1378375413,1,2,2,0
163,2673c454,1378375413,1,2,2,0
164,642c13e1,1378375421,1,2,2,0
165,5a00378f,1378375421,1,2,2,0
166,7ec9f622,1378376365,1,2,2,0
167,df194a8a,1378376365,1,2,2,0
168,5251ec60,1378557086,1,2,2,0
169,c6309ab9,1378557086,1,2,2,0
170,d3dbc44f,1378557292,1,2,2,0
171,d6da2a90,1378557292,1,2,2,0
172,7afef843,1378558277,1,2,2,0
173,ec7051b8,1378558277,1,2,2,0
174,4524abfa,1378558720,1,2,2,0
175,98ff864a,1378558720,1,2,2,0
176,160f79ab,1378561023,1,2,2,0
177,6c2176b2,1378561023,1,2,2,0
178,5c7049c3,1378561044,1,2,2,0
179,fe0ead32,1378561044,1,2,2,0
180,755dd9f1,1378561196,1,2,2,0
181,4921ae97,1378561196,1,2,2,0
182,46b488bc,1378838901,1,2,2,0
183,f13b9bb6,1378838901,1,2,2,0
184,a62827f6,1378838911,1,2,2,0
185,1a5ff99f,1378838911,1,2,2,0
186,23740e1b,1380006655,1,2,2,0
187,9e451244,1380006655,1,2,2,0
188,11667caa,1380007244,1,2,2,0
189,89322fbe,1380007244,1,2,2,0
190,7618f097,1380007338,1,2,2,0
191,a951926b,1380007338,1,2,2,0
192,2e1e2a49,1380649007,1,2,2,0
193,c8f09e63,1380649007,1,2,2,0
194,64aae3a7,1380649070,1,2,2,0
195,30f79af4,1380649070,1,2,2,0
196,f1e453f5,1380651231,1,2,2,0
197,95420286,1380651231,1,2,2,0
198,31fa034b,1380651641,1,2,2,0
199,0e16b586,1380651641,1,2,2,0
200,2d123fcc,1381601160,1,2,2,0
201,fb2f40bf,1381601160,1,2,2,0
202,bd864482,1381693017,1,2,2,0
203,112ccfc8,1381693017,1,2,2,0
204,07658eee,1382701821,1,2,2,0
205,547f5c5b,1382701821,1,2,2,0
206,1ff34cae,1382777457,1,2,2,0
207,ed73b36d,1382777457,1,2,2,0
208,fbb9e4f9,1383154672,2,2,2,0
209,7fa1278a,1383154672,2,2,2,0
210,40c351fd,1383154744,2,2,2,0
211,c53bce05,1383154744,2,2,2,0
212,f4b711e7,1383154948,2,2,2,0
213,d41e5bfa,1383154948,2,2,2,0
214,e8a52ca3,1383158508,2,2,2,0
215,6550e876,1383158508,2,2,2,0
216,fe13cefc,1383158656,2,2,2,0
217,40d7babf,1383158656,2,2,2,0
218,91f0efd7,1383158770,2,2,2,0
219,755fc084,1383158770,2,2,2,0
220,1e3f9f6b,1383665360,2,2,2,0
221,7339c2be,1383665360,2,2,2,0
222,550fb41d,1384460981,2,2,2,0
223,ffcc8f7a,1384460981,2,2,2,0
224,1aa89196,1384462021,2,2,2,0
225,44047671,1384462021,2,2,2,0
226,6d30f06f,1384462185,2,2,2,0
227,86b2ac78,1384462185,2,2,2,0
228,ba8880f2,1384551551,2,2,2,0
229,32ae8a0b,1384551551,2,2,2,0
230,0b7c523a,1384555685,2,2,2,0
231,5d2750b5,1384555685,2,2,2,0
232,d55f1861,1384624514,2,2,2,0
233,d20130c8,1384624514,2,2,2,0
234,23f8b420,1384941521,2,2,2,0
235,62f7b45c,1384941521,2,2,2,0
236,bd1535ab,1385042915,2,2,2,0
237,74562470,1385042915,2,2,2,0
238,50e65872,1385074945,1,1,1,0
239,2daf9b06,1385074945,1,1,1,0
240,1a259772,1385077789,2,2,2,1
241,8698fcf7,1385077789,2,2,2,1
242,2257225e,1385078377,2,2,2,1
243,ec2be8a8,1385078377,2,2,2,1
244,7e2542dd,1385078607,2,2,2,1
245,a97d7fb9,1385078607,2,2,2,1
246,81ef497f,1385078739,2,2,2,1
247,39f8d24d,1385078739,2,2,2,1
248,efbedd29,1385107853,2,2,2,0
249,2a7f362c,1385107853,2,2,2,0
250,c24a6298,1385113196,3,2,2,0
251,92aaebb1,1385113196,3,2,2,0
252,4a34c21e,1385126450,3,2,2,0
253,5f96a079,1385126450,3,2,2,0
254,57577edc,1385126479,3,2,2,1
255,f2084eda,1385126479,3,2,2,1
256,c29a0513,1385127333,3,2,2,1
257,3e2ecb5f,1385127333,3,2,2,1
258,1d1aa3cb,1385127481,3,2,2,1
259,25fd9e96,1385127481,3,2,2,1
260,000058e6,1385129019,3,2,2,0
261,80303dd4,1385129019,3,2,2,0
262,197d3a57,1385136368,3,2,2,1
263,e16bd9fa,1385136368,3,2,2,1
264,518ee6d5,1385247763,3,2,2,1
265,b6ba7276,1385247763,3,2,2,1
266,48078e34,1385247876,3,2,2,1
267,e8d7255a,1385247876,3,2,2,1
268,67385bc3,1385328295,3,2,2,1
269,3a3596d1,1385328295,3,2,2,1
270,b4cd69e7,1385400259,3,2,2,1
271,7fc6e483,1385400259,3,2,2,1
272,c399080c,1385419115,3,2,2,1
273,17985407,1385419115,3,2,2,1
274,bcb48c93,1385467477,3,2,2,1
275,0ea3bdd1,1385467477,3,2,2,1
276,eb34cdb2,1385482606,3,2,2,1
277,25f7e410,1385482606,3,2,2,1
278,ee5720e6,1385490492,3,2,2,1
279,d1eb31f1,1385490492,3,2,2,1
280,7af75c4f,1385490661,3,2,2,1
281,5612d9bd,1385490661,3,2,2,1
282,41f77125,1385490725,3,2,2,1
283,3e507409,1385490725,3,2,2,1
284,1089a4b1,1385491092,3,2,2,1
285,599b12f4,1385491092,3,2,2,1
286,85011f0e,1385491310,3,2,2,1
287,df2bace8,1385491310,3,2,2,1
288,0c85cbf0,1385733439,3,2,2,1
289,39edc96e,1385733439,3,2,2,1
290,2e574e93,1385733470,3,2,2,1
291,e8258338,1385733470,3,2,2,1
292,96836117,1385733487,3,2,2,1
293,b13cf7ab,1385733487,3,2,2,1
294,b6a3c2ab,1385734965,3,2,2,1
295,7b94afa9,1385734965,3,2,2,1
296,a82c572a,1385734990,3,2,2,1
297,a8330eec,1385734990,3,2,2,1
298,c4105faa,1385736032,3,2,2,1
299,8a677085,1385736032,3,2,2,1
300,eb96b6ef,1385736057,3,2,2,1
301,ccb7ae13,1385736057,3,2,2,1
302,d118222b,1385743665,3,2,2,1
303,dceba368,1385743665,3,2,2,1
304,93b64bae,1385745378,3,2,2,1
305,073a8522,1385745378,3,2,2,1
306,3a87d5d5,1385834149,3,2,2,1
307,7b253049,1385834149,3,2,2,1
308,d7a87cb7,1385835242,3,2,2,1
309,a4c78921,1385835242,3,2,2,1
310,053ff14e,1385837415,3,2,2,1
311,c38cc427,1385837415,3,2,2,1
312,310b011b,1386071797,3,2,2,1
313,8711505,1386071797,3,2,2,1
314,c64761b1,1386866730,3,2,2,1
315,8a123909,1386866730,3,2,2,1
316,27dc3781,1386962364,3,2,2,1
317,b7f2cef3,1386962467,3,2,2,1
318,73374477,1386963367,3,2,2,1
319,2996759f,1387636541,3,2,2,1
320,a4e2dbb5,1387663898,3,2,2,1
321,42651b79,1388247060,3,2,2,1
322,8966c2fc,1388349158,3,2,2,1
323,32e61d19,1389471984,3,2,2,1
324,7159cbb4,1389658804,2,2,2,1
325,742e1aee,1389661050,2,2,2,1
326,ec315b7a,1389699631,2,2,2,1
327,50450138,1389819660,2,2,2,1
328,fba611e3,1389819713,2,2,2,1
329,8a11da84,1389866174,2,2,2,1
330,91fea4dc,1389867179,2,2,2,1
331,28afeefc,1389907949,2,2,2,1
332,4b26a44a,1389910859,3,2,2,1
333,4cbb5c6b,1389912097,2,2,2,1
334,0f8da5d9,1389959198,2,2,2,1
335,bde477f2,1389959293,2,2,2,1
336,dd9db525,1389959374,2,2,2,1
337,d2b79df9,1389979255,2,2,2,1
338,a4c60c92,1389979523,2,2,2,1
339,884a3267,1390028688,2,2,2,1
340,46092a35,1390035033,3,2,2,1
341,13f85e80,1390049665,3,2,2,1
342,bff11e40,1390066778,3,2,2,1
343,0f767136,1390313468,3,2,2,1
344,769b6080,1390313542,3,2,2,1
345,921218fe,1390359440,3,2,2,1
346,28f3009a,1390373716,3,2,2,1
347,26aef042,1390556920,3,2,2,1
348,812f17e8,1390583819,3,2,2,1
349,fada6376,1390583869,3,2,2,1
350,90cf28f6,1390942045,3,2,2,1
351,9993f173,1390942162,3,2,2,1
352,d13bcf5e,1390942338,3,2,2,1
353,b05e9801,1390943357,3,2,2,1
354,32db432f,1391076787,3,2,3,1
355,66febc28,1391255210,3,2,3,1
356,42a5ed55,1391277381,3,2,3,1
357,ea84d89c,1391280587,3,2,2,1
358,ddce3204,1392309314,3,2,3,1
359,8d7a89e5,1392443459,3,2,3,1
360,0891c3fb,1392447857,3,2,3,1
361,3cd9380a,1392468323,3,2,3,1
362,92edc191,1392490402,3,2,3,1
363,ad3f2db1,1392490484,3,2,3,1
364,66116113,1392490541,3,2,3,1
365,a610e3bc,1392533685,3,2,3,1
366,9b12e99a,1392571563,3,2,3,1
367,b398d9ca,1393045661,3,2,3,1
368,13247a2c,1393045687,3,2,3,1
369,e6f78e07,1393168299,3,2,3,1
370,055480a3,1393169111,3,2,3,1
371,72e8e021,1393232491,3,2,3,1
372,13e8c756,1393232569,3,2,3,1
373,4078bd4e,1393576586,3,2,3,1
374,c703d98b,1393581747,3,2,3,1
375,81700c86,1393619072,3,2,3,1
376,8064d892,1393676356,3,2,3,1
377,08e5f76c,1393688078,3,2,3,1
378,d069b13a,1393688109,3,2,3,1
379,bab35d37,1393700027,3,2,3,1
380,87108864,1393700808,3,2,3,1
381,e108dd76,1393746943,3,2,3,1
382,25bb4546,1393783147,3,2,3,1
383,6d692e18,1393783189,3,2,3,1
384,8442029f,1393791179,3,2,3,1
385,26342d4c,1394046296,3,2,3,1
386,92e84f0a,1394046365,3,2,3,1
387,8868fd3b,1394046398,3,2,3,1
388,7d2f4ace,1394048765,3,2,3,1
389,1ebf3c03,1394052458,3,2,3,1
390,88873356,1394052495,3,2,3,1
391,0bb08e23,1394052542,3,2,3,1
392,b0c01c85,1394053486,3,2,3,1
393,d36eb94c,1394091524,3,2,3,1
394,0998c2e9,1394092154,3,2,3,1
395,cabab383,1394092267,3,2,3,1
396,034cfd91,1394093030,3,2,3,1
397,2b42e91b,1394093129,3,2,3,1
398,2629cf12,1394125498,3,2,3,1
399,7bc97483,1394211475,3,2,3,1
400,e9ba84c3,1394288878,3,2,3,1
401,869fafc9,1394288999,3,2,3,1
402,32a12de7,1394289035,3,2,3,1
403,0f4828e1,1394289050,3,2,3,1
404,1a996e54,1394289110,3,2,3,1
405,2891b791,1394347820,3,2,3,1
406,cf4e0436,1394398015,3,2,3,1
407,e0466e6a,1394398040,3,2,3,1
408,4a854fb4,1394533176,3,2,3,1
409,94ca2e5f,1394550070,3,2,3,1
410,2ab24335,1396331971,3,2,3,1
411,01cecf3b,1396332059,3,2,3,1
412,814c1369,1396332339,3,2,3,1
413,207238a3,1396332383,3,2,3,1
414,45e2e5bd,1396332474,3,2,3,1
415,bd8645ee,1396387148,3,2,3,1
416,fe1b81ca,1396387167,3,2,3,1
417,1bacd203,1397650878,3,2,3,1
418,e34ae49a,1397725635,3,2,3,1
419,e51cd18c,1398069737,3,2,3,1
420,cfee29b1,1398327359,3,2,3,1
421,de69000e,1398327817,3,2,3,1
422,924837b6,1398551018,3,2,3,1
423,9630b2fd,1398629280,3,2,3,1
424,9ae94ef9,1398635371,3,2,3,1
425,28598bb5,1398665288,3,2,3,1
426,bd0d8e1b,1398835915,3,2,3,1
427,59f9b3d9,1398835934,3,2,3,1
428,20be65c4,1398837860,3,2,3,1
429,174620a0,1399047529,3,2,3,1
430,30c98d46,1399749390,3,2,3,1
431,8d8bd73c,1399749481,3,2,3,1
432,ccb46e6d,1399749512,3,2,3,1
433,07b3a455,1399749526,3,2,3,1
434,a06b2f87,1399749577,3,2,3,1
435,95b2a415,1399749603,3,2,3,1
436,04cbffa5,1399749663,3,2,3,1
437,75f9e70f,1399749789,3,2,3,1
438,e905256c,1399749851,3,2,3,1
439,7627a7de,1399751683,3,2,3,1
440,8ae1ff47,1399751954,3,2,3,1
441,ad8a7ad4,1399752032,3,2,3,1
442,2a0434db,1399969689,3,2,3,1
443,bfadb5e9,1399978335,3,2,3,1
444,c2ddf367,1400176311,3,2,3,1
445,263fe6c6,1400179343,3,2,3,1
446,46b56abd,1400179472,3,2,3,1
447,fd2d5256,1400391658,3,2,3,1
448,7e539e52,1400391981,3,1,2,1
449,b074ce86,1400392027,3,1,2,1
450,1cb3ef53,1400485034,3,1,2,1
451,84747147,1400485069,4,1,2,1
452,a3a95b5f,1400534737,4,1,2,1
453,af88b215,1400534751,4,1,2,1
454,57bfebe6,1400534767,4,1,2,1
455,bb67e79b,1400534779,4,1,2,1
456,eff35bb1,1400534793,4,1,2,1
457,6532a990,1400534803,4,1,2,1
458,c1f2e75d,1400534819,4,1,2,1
459,f85c5ee4,1400534839,4,1,2,1
460,cb7fa6e6,1400534868,4,1,2,1
461,eeb34688,1400537033,3,2,3,1
462,6c154026,1400537130,4,1,2,1
463,be89c39e,1400537156,4,1,2,1
464,42b5d006,1400938964,4,1,2,1
465,337b8efe,1400941697,4,1,2,1
466,ebd2d75e,1401000272,4,1,2,1
467,3c0e0af2,1401000328,4,1,2,1
468,5b95e48c,1401000417,4,1,2,1
469,42021f68,1401000460,4,1,2,1
470,87b2a8e6,1401000471,4,1,2,1
471,38028fbc,1401000480,4,1,2,1
472,7547e5c7,1401000497,4,1,2,1
473,b3903c8d,1401000504,4,1,2,1
474,81fa20f0,1401000515,4,1,2,1
475,9420432c,1401000533,4,1,2,1
476,d67b54c3,1401263199,3,2,3,1
477,4b54d005,1401263228,3,2,3,1
478,03cab201,1401263410,3,2,3,1
479,7ffb03f7,1401395866,4,1,2,1
480,2a6d8ffb,1401395888,4,1,2,1
481,52c43783,1401430283,4,1,2,1
482,194f65f9,1401434296,4,1,2,1
483,a84427d3,1401434348,4,1,2,1
484,98563de8,1401436324,4,1,2,1
485,1a43a0a9,1401438392,4,1,2,1
486,eb042ae7,1401438418,4,1,2,1
487,67b15975,1401472788,4,1,2,1
488,a2fee7d0,1401472821,5,1,2,1
489,5723fab2,1401472879,5,1,2,1
490,1c40b69a,1401479117,5,1,2,1
491,3cd24568,1401479593,5,1,2,1
492,b2866200,1401479871,5,1,2,1
493,f8a2b0c5,1401480202,5,1,2,1
494,2203b67f,1401480295,5,1,2,1
495,bf038df7,1401512040,5,1,2,1
496,e13b6083,1401569036,5,1,2,1
497,1ff49c9f,1401569153,5,1,2,1
498,3a73a3bf,1401569184,5,1,2,1
499,b8d80538,1401804571,5,1,2,1
500,a2630ae9,1402137722,5,1,2,1
501,efb0ee02,1402606170,5,1,2,1
502,3d4d27b4,1402606208,5,1,2,1
503,ef6d6be8,1402634924,5,1,2,1
504,d84cb512,1402688714,5,1,2,1
505,d7a97795,1402693025,5,1,2,1
506,58221dbb,1402693727,5,1,2,1
507,730c6afe,1402809822,5,1,2,1
508,496190e9,1402809864,5,1,2,1
509,af802195,1402809884,5,1,2,1
510,b23ba681,1402810273,5,1,2,1
511,c9360ab9,1402810286,5,1,2,1
512,974882,1402817029,5,1,2,1
513,b5bf88a3,1402817235,5,1,2,1
514,1f57d2ec,1402863840,5,1,2,1
515,4994637c,1402863998,5,1,2,1
516,ba6e88f1,1402953576,5,1,2,1
517,4a3d1b82,1402953643,5,1,2,1
518,68446693,1403542198,5,1,2,1
519,4b37d1e6,1403547475,5,1,2,1
520,127f9921,1403909927,5,1,2,1
521,d03d3c4f,1404205777,5,1,2,1
522,2578b1fd,1404251547,5,1,2,1
523,23325cb7,1404251588,5,1,2,1
524,8d428047,1406726837,5,1,2,1
525,d8712c1a,1408344856,5,1,2,1
526,6434ecc3,1409829905,5,1,2,1
527,f8b81581,1409830457,5,1,2,1
528,6db5562a,1409850326,5,1,2,1
529,5df0a482,1411538434,5,1,2,1
530,d30a8e3b,1411544824,5,1,2,1
531,ad159c6d,1411555276,5,1,2,1
532,537e293f,1412534205,5,1,2,1
533,a1555545,1412830302,5,1,2,1
534,3cd20bb5,1413051107,5,1,2,1
535,e2f68976,1413051577,5,1,2,1
536,eacf5701,1413627073,5,1,2,1
537,826beebc,1413627106,5,1,2,1
538,de8ec4e5,1413648772,5,1,2,1
539,6fbb208a,1413648880,5,1,2,1
540,12cb2b6f,1413663656,5,1,2,1
541,f7094a84,1413664308,5,1,2,1
542,261a8c8b,1413736786,5,1,2,1
543,c672b3de,1413736825,5,1,2,1
544,fc76c64d,1413825809,5,1,2,1
545,65d3580a,1413925270,5,1,2,1
546,09c33de9,1413925415,5,1,2,1
547,28a33407,1414043606,5,1,2,1
548,79424473,1414043644,5,1,2,1
549,cdfe91cd,1414044433,5,1,2,1
550,671b9c0b,1414045352,5,1,2,1
551,379f0c96,1414052269,5,1,2,1
552,0357f205,1414092143,5,1,2,1
553,fff7fd57,1414092251,5,1,2,1
554,2db14175,1414092301,5,1,2,1
555,e89dc861,1414092336,5,1,2,1
556,b1094e2b,1414131421,5,1,2,1
557,3d3d001c,1414132737,5,1,2,1
558,e8e382ad,1414255091,6,1,2,1
559,7627e5c7,1414255164,6,1,2,1
560,7f3cf8b9,1414255224,6,1,2,1
561,de60df53,1414261413,6,1,2,1
562,b23b3ac9,1414268239,6,1,2,1
563,d010d43f,1414270459,6,1,2,1
564,6490e3fc,1414270505,6,1,2,1
565,76a8117a,1414343676,6,1,2,1
566,94180f76,1414343732,6,1,2,1
567,102b4bc1,1414343751,6,1,2,1
568,9a9d925d,1414358323,6,1,2,1
569,6121b252,1414598614,6,1,2,1
570,1834e1c1,1414598634,6,1,2,1
571,7f9dd275,1414601911,6,1,2,1
572,ee229ef2,1414602872,6,1,2,1
573,0c8ecb30,1414616263,6,1,2,1
574,07357c0c,1419829788,6,1,2,1
575,4ce7760a,1419849109,6,1,2,1
576,3e9e07c2,1419851856,6,1,2,1
577,cd7c3796,1419911466,6,1,2,1
578,6d104860,1421182809,6,1,2,1
579,79f1ad0c,1421182898,6,1,2,1
580,a1836f57,1421182947,6,1,2,1
581,40f08390,1421183027,6,1,2,1
582,f7563108,1427313572,6,1,2,1
